pair_id,idx_11000nm,idx_pan,distance_m,fpa_wl0,fpa_wl1,n_matches,n_inliers,inlier_ratio,mean_conf
40648_25454,40648,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9733458757400513
40649_25454,40649,25454,5.419272245262411,12.1,11.9,784,782,0.9974489795918368,0.9735926389694214
40632_25454,40632,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9711124897003174
40633_25454,40633,25454,5.419272245262411,12.1,11.9,784,783,0.9987244897959183,0.9712027907371521
40634_25454,40634,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9710566997528076
40635_25454,40635,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9712830185890198
40636_25454,40636,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9711311459541321
40637_25454,40637,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9708788990974426
40638_25454,40638,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9708966612815857
40639_25454,40639,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9710976481437683
40640_25454,40640,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9712255001068115
40641_25454,40641,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9710568785667419
40642_25454,40642,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9715088605880737
40643_25454,40643,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9715813398361206
40644_25454,40644,25454,5.419272245262411,12.1,11.9,784,781,0.9961734693877551,0.9718126654624939
40645_25454,40645,25454,5.419272245262411,12.1,11.9,784,779,0.9936224489795918,0.972379744052887
40646_25454,40646,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9731000065803528
40647_25454,40647,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9729654788970947
40616_25454,40616,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9695643186569214
40617_25454,40617,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9693893790245056
40618_25454,40618,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9695567488670349
40619_25454,40619,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9696651101112366
40620_25454,40620,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9696775078773499
40621_25454,40621,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.96969074010849
40622_25454,40622,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9704066514968872
40623_25454,40623,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9708638191223145
40624_25454,40624,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9713014960289001
40625_25454,40625,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9708476662635803
40626_25454,40626,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9705213308334351
40627_25454,40627,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9706685543060303
40628_25454,40628,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9706997275352478
40629_25454,40629,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9705680012702942
40630_25454,40630,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9707720279693604
40631_25454,40631,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9707902669906616
40614_25454,40614,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9688941836357117
40615_25454,40615,25454,5.419272245262411,12.1,11.9,784,784,1.0,0.9690864682197571
40871_25413,40871,25413,7.024347694522669,12.1,11.9,784,776,0.9897959183673469,0.9731323719024658
40870_25413,40870,25413,7.024347694522669,12.1,11.9,784,772,0.9846938775510204,0.9734717607498169
40869_25413,40869,25413,7.024347694522669,12.1,11.9,784,784,1.0,0.9732732772827148
40868_25413,40868,25413,7.024347694522669,12.1,11.9,784,784,1.0,0.9738526344299316
40867_25413,40867,25413,7.024347694522669,12.1,11.9,784,784,1.0,0.9738585948944092
