pair_id,idx_9000nm,idx_11000nm,distance_m,n_matches,n_inliers,inlier_ratio,mean_conf
43470_40532,43470,40532,4.359350464530866,1577,1284,0.8142041851616995,0.3502180278301239
43471_40532,43471,40532,4.359350464530866,1471,1174,0.7980965329707682,0.34781673550605774
43472_40532,43472,40532,4.359350464530866,1406,1155,0.8214793741109531,0.3482980728149414
43473_40532,43473,40532,4.359350464530866,1454,1188,0.8170563961485557,0.35377931594848633
43454_40532,43454,40532,4.359350464530866,1533,1286,0.8388780169602087,0.34900739789009094
43455_40532,43455,40532,4.359350464530866,1548,1176,0.7596899224806202,0.34258463978767395
43456_40532,43456,40532,4.359350464530866,1522,1226,0.8055190538764783,0.3443082571029663
43457_40532,43457,40532,4.359350464530866,1515,1204,0.7947194719471947,0.34332481026649475
43458_40532,43458,40532,4.359350464530866,1584,1229,0.7758838383838383,0.346100777387619
43459_40532,43459,40532,4.359350464530866,1549,1169,0.7546804389928986,0.3499191701412201
43462_40532,43462,40532,4.359350464530866,1503,1196,0.7957418496340652,0.346519410610199
43463_40532,43463,40532,4.359350464530866,1528,1154,0.7552356020942408,0.3413809835910797
43464_40532,43464,40532,4.359350464530866,1545,1187,0.7682847896440129,0.3454076945781708
43465_40532,43465,40532,4.359350464530866,1572,1194,0.7595419847328244,0.3495872914791107
43466_40532,43466,40532,4.359350464530866,1596,1229,0.7700501253132832,0.3486858308315277
43467_40532,43467,40532,4.359350464530866,1626,1324,0.8142681426814268,0.3472823202610016
43468_40532,43468,40532,4.359350464530866,1572,1219,0.7754452926208651,0.35277798771858215
43469_40532,43469,40532,4.359350464530866,1561,1259,0.8065342729019859,0.3523654639720917
43438_40532,43438,40532,4.359350464530866,1685,1407,0.8350148367952522,0.34930989146232605
43439_40532,43439,40532,4.359350464530866,1647,1377,0.8360655737704918,0.3492163419723511
43440_40532,43440,40532,4.359350464530866,1660,1335,0.8042168674698795,0.3481754958629608
43441_40532,43441,40532,4.359350464530866,1707,1351,0.7914469830111306,0.3472159802913666
43442_40532,43442,40532,4.359350464530866,1735,1449,0.8351585014409222,0.34793609380722046
43443_40532,43443,40532,4.359350464530866,1757,1422,0.8093340922026181,0.3464345633983612
43423_40532,43423,40532,4.359350464530866,1566,1279,0.8167305236270753,0.3504325747489929
43424_40532,43424,40532,4.359350464530866,1637,1318,0.8051313378130727,0.3527010977268219
43425_40532,43425,40532,4.359350464530866,1622,1310,0.8076448828606658,0.34842193126678467
43426_40532,43426,40532,4.359350464530866,1552,1240,0.7989690721649485,0.35556966066360474
43427_40532,43427,40532,4.359350464530866,1615,1290,0.7987616099071208,0.35480162501335144
43460_40532,43460,40532,4.359350464530866,1551,1263,0.8143133462282398,0.352228581905365
43461_40532,43461,40532,4.359350464530866,1532,1216,0.793733681462141,0.34366199374198914
43446_40532,43446,40532,4.359350464530866,1697,1295,0.7631113730111962,0.3412230610847473
43447_40532,43447,40532,4.359350464530866,1670,1241,0.7431137724550898,0.3431745767593384
43448_40532,43448,40532,4.359350464530866,1665,1298,0.7795795795795796,0.3438407778739929
43449_40532,43449,40532,4.359350464530866,1539,1286,0.8356075373619233,0.34560999274253845
43434_40532,43434,40532,4.359350464530866,1678,1364,0.8128724672228844,0.3543587625026703
43431_40532,43431,40532,4.359350464530866,1664,1394,0.8377403846153846,0.35050010681152344
43432_40532,43432,40532,4.359350464530866,1629,1300,0.7980356046654389,0.349112331867218
43433_40532,43433,40532,4.359350464530866,1645,1314,0.7987841945288754,0.34988632798194885
43445_40532,43445,40532,4.359350464530866,1723,1366,0.7928032501450958,0.3452972173690796
43444_40532,43444,40532,4.359350464530866,1693,1339,0.7909037212049616,0.34659290313720703
43428_40532,43428,40532,4.359350464530866,1639,1373,0.837705918242831,0.35667529702186584
43429_40532,43429,40532,4.359350464530866,1713,1387,0.8096906012842966,0.3518636226654053
43421_40532,43421,40532,4.359350464530866,1518,1195,0.7872200263504612,0.34504520893096924
43435_40532,43435,40532,4.359350464530866,1660,1304,0.7855421686746988,0.35024017095565796
43436_40532,43436,40532,4.359350464530866,1676,1388,0.8281622911694511,0.3446110188961029
43437_40532,43437,40532,4.359350464530866,1611,1367,0.8485412787088765,0.34698665142059326
43430_40532,43430,40532,4.359350464530866,1667,1480,0.8878224355128974,0.35272684693336487
43451_40532,43451,40532,4.359350464530866,1557,1239,0.7957610789980732,0.34771111607551575
43452_40532,43452,40532,4.359350464530866,1474,1182,0.8018995929443691,0.34601396322250366
43453_40532,43453,40532,4.359350464530866,1499,1073,0.7158105403602402,0.34653440117836
43450_40532,43450,40532,4.359350464530866,1476,1170,0.7926829268292683,0.3453272879123688
43422_40532,43422,40532,4.359350464530866,1553,1200,0.77269800386349,0.3464682400226593
43295_40433,43295,40433,5.74609844612315,1478,1163,0.786874154262517,0.3470972776412964
43297_40433,43297,40433,5.74609844612315,1542,1234,0.8002594033722439,0.3496377468109131
43296_40433,43296,40433,5.74609844612315,1521,1225,0.8053911900065747,0.35187655687332153
43318_40433,43318,40433,5.74609844612315,1611,1231,0.7641216635630044,0.3573576807975769
43319_40433,43319,40433,5.74609844612315,1651,1395,0.8449424591156874,0.3548004925251007
43320_40433,43320,40433,5.74609844612315,1688,1330,0.7879146919431279,0.34880658984184265
43321_40433,43321,40433,5.74609844612315,1611,1274,0.7908131595282434,0.35176193714141846
