pair_id,idx_9000nm,idx_11000nm,distance_m,n_matches,n_inliers,inlier_ratio,mean_conf
43470_40532,43470,40532,4.359350464530866,784,784,1.0,0.9961940050125122
43471_40532,43471,40532,4.359350464530866,784,784,1.0,0.9961760640144348
43472_40532,43472,40532,4.359350464530866,784,784,1.0,0.9961423277854919
43473_40532,43473,40532,4.359350464530866,784,784,1.0,0.996082067489624
43454_40532,43454,40532,4.359350464530866,784,784,1.0,0.9966399669647217
43455_40532,43455,40532,4.359350464530866,784,784,1.0,0.9966155290603638
43456_40532,43456,40532,4.359350464530866,784,784,1.0,0.9966093301773071
43457_40532,43457,40532,4.359350464530866,784,784,1.0,0.9965609908103943
43458_40532,43458,40532,4.359350464530866,784,784,1.0,0.9965375065803528
43459_40532,43459,40532,4.359350464530866,784,784,1.0,0.9965018630027771
43462_40532,43462,40532,4.359350464530866,784,784,1.0,0.9964127540588379
43463_40532,43463,40532,4.359350464530866,784,784,1.0,0.9963729381561279
43464_40532,43464,40532,4.359350464530866,784,784,1.0,0.9963460564613342
43465_40532,43465,40532,4.359350464530866,784,784,1.0,0.996275782585144
43466_40532,43466,40532,4.359350464530866,784,784,1.0,0.9962593913078308
43467_40532,43467,40532,4.359350464530866,784,784,1.0,0.9962573647499084
43468_40532,43468,40532,4.359350464530866,784,784,1.0,0.9962438344955444
43469_40532,43469,40532,4.359350464530866,784,784,1.0,0.99620521068573
43438_40532,43438,40532,4.359350464530866,784,784,1.0,0.9970530271530151
43439_40532,43439,40532,4.359350464530866,784,784,1.0,0.9970280528068542
43440_40532,43440,40532,4.359350464530866,784,784,1.0,0.9970052242279053
43441_40532,43441,40532,4.359350464530866,784,784,1.0,0.9969820380210876
43442_40532,43442,40532,4.359350464530866,784,784,1.0,0.9969627857208252
43443_40532,43443,40532,4.359350464530866,784,784,1.0,0.9969568848609924
43423_40532,43423,40532,4.359350464530866,784,784,1.0,0.9970316886901855
43424_40532,43424,40532,4.359350464530866,784,784,1.0,0.9970712661743164
43425_40532,43425,40532,4.359350464530866,784,784,1.0,0.9970698356628418
43426_40532,43426,40532,4.359350464530866,784,784,1.0,0.9970850944519043
43427_40532,43427,40532,4.359350464530866,784,784,1.0,0.9970978498458862
43460_40532,43460,40532,4.359350464530866,784,784,1.0,0.9964601397514343
