pair_id,idx_9000nm,idx_pan,distance_m,n_matches,n_inliers,inlier_ratio,mean_conf
49725_37399,49725,37399,3.420847964575665,1,0,0.0,0.21155372262001038
49726_37399,49726,37399,3.420847964575665,0,0,0.0,0.0
49727_37399,49727,37399,3.420847964575665,1,0,0.0,0.2237401008605957
49728_37399,49728,37399,3.420847964575665,4,0,0.0,0.23471343517303467
49731_37399,49731,37399,3.420847964575665,3,0,0.0,0.2554202377796173
49732_37399,49732,37399,3.420847964575665,3,0,0.0,0.2989515960216522
49729_37399,49729,37399,3.420847964575665,2,0,0.0,0.28738272190093994
49730_37399,49730,37399,3.420847964575665,3,0,0.0,0.2345297932624817
49721_37399,49721,37399,3.420847964575665,3,0,0.0,0.30628490447998047
49722_37399,49722,37399,3.420847964575665,3,0,0.0,0.34222424030303955
49723_37399,49723,37399,3.420847964575665,2,0,0.0,0.23585259914398193
49724_37399,49724,37399,3.420847964575665,2,0,0.0,0.23850908875465393
49710_37481,49710,37481,5.981364015640452,2,0,0.0,0.21062347292900085
49720_37481,49720,37481,5.981364015640452,4,0,0.0,0.2844708561897278
49709_37481,49709,37481,5.981364015640452,4,0,0.0,0.24384215474128723
49719_37481,49719,37481,5.981364015640452,1,0,0.0,0.2866702079772949
49715_37481,49715,37481,5.981364015640452,2,0,0.0,0.4309949278831482
49714_37481,49714,37481,5.981364015640452,5,0,0.0,0.28186744451522827
49713_37481,49713,37481,5.981364015640452,5,0,0.0,0.2778768241405487
49702_37481,49702,37481,5.981364015640452,9,7,0.7777777777777778,0.2771410644054413
49712_37481,49712,37481,5.981364015640452,1,0,0.0,0.20127320289611816
49703_37481,49703,37481,5.981364015640452,10,7,0.7,0.2849885821342468
49704_37481,49704,37481,5.981364015640452,8,7,0.875,0.2949252426624298
49711_37481,49711,37481,5.981364015640452,2,0,0.0,0.23090043663978577
49687_37481,49687,37481,5.981364015640452,10,7,0.7,0.2682165801525116
49686_37481,49686,37481,5.981364015640452,12,7,0.5833333333333334,0.2640683054924011
49717_37481,49717,37481,5.981364015640452,4,0,0.0,0.28942862153053284
49716_37481,49716,37481,5.981364015640452,5,0,0.0,0.2895364761352539
49688_37481,49688,37481,5.981364015640452,9,7,0.7777777777777778,0.2647254765033722
49694_37481,49694,37481,5.981364015640452,3,0,0.0,0.22897975146770477
49693_37481,49693,37481,5.981364015640452,6,0,0.0,0.2712114751338959
49718_37481,49718,37481,5.981364015640452,4,0,0.0,0.29076480865478516
49708_37481,49708,37481,5.981364015640452,4,0,0.0,0.30088672041893005
49677_37481,49677,37481,5.981364015640452,5,0,0.0,0.2775539755821228
49678_37481,49678,37481,5.981364015640452,4,0,0.0,0.2744057774543762
49695_37481,49695,37481,5.981364015640452,2,0,0.0,0.29116618633270264
49696_37481,49696,37481,5.981364015640452,3,0,0.0,0.23988942801952362
49697_37481,49697,37481,5.981364015640452,4,0,0.0,0.24317458271980286
49698_37481,49698,37481,5.981364015640452,1,0,0.0,0.27514705061912537
49699_37481,49699,37481,5.981364015640452,7,0,0.0,0.24860744178295135
49700_37481,49700,37481,5.981364015640452,7,0,0.0,0.28189989924430847
49701_37481,49701,37481,5.981364015640452,8,7,0.875,0.2726048529148102
49670_37481,49670,37481,5.981364015640452,4,0,0.0,0.20937202870845795
49671_37481,49671,37481,5.981364015640452,5,0,0.0,0.2697649896144867
49672_37481,49672,37481,5.981364015640452,4,0,0.0,0.24484962224960327
49705_37481,49705,37481,5.981364015640452,10,7,0.7,0.27724263072013855
49706_37481,49706,37481,5.981364015640452,6,0,0.0,0.27357861399650574
49707_37481,49707,37481,5.981364015640452,8,7,0.875,0.269049733877182
49684_37481,49684,37481,5.981364015640452,8,7,0.875,0.23424240946769714
49685_37481,49685,37481,5.981364015640452,5,0,0.0,0.25581803917884827
49654_37481,49654,37481,5.981364015640452,4,0,0.0,0.2561011016368866
49679_37481,49679,37481,5.981364015640452,4,0,0.0,0.21824567019939423
49680_37481,49680,37481,5.981364015640452,9,7,0.7777777777777778,0.28201162815093994
49681_37481,49681,37481,5.981364015640452,7,0,0.0,0.30583876371383667
49682_37481,49682,37481,5.981364015640452,4,0,0.0,0.2392389476299286
49683_37481,49683,37481,5.981364015640452,5,0,0.0,0.2734537124633789
49656_37481,49656,37481,5.981364015640452,8,7,0.875,0.2918455898761749
49689_37481,49689,37481,5.981364015640452,8,7,0.875,0.2649448812007904
49690_37481,49690,37481,5.981364015640452,4,0,0.0,0.274371474981308
49655_37481,49655,37481,5.981364015640452,10,7,0.7,0.2759302258491516
49691_37481,49691,37481,5.981364015640452,6,0,0.0,0.24808882176876068
49662_37481,49662,37481,5.981364015640452,5,0,0.0,0.2629329264163971
49661_37481,49661,37481,5.981364015640452,11,7,0.6363636363636364,0.2684856057167053
49692_37481,49692,37481,5.981364015640452,7,0,0.0,0.29002508521080017
49647_37481,49647,37481,5.981364015640452,5,0,0.0,0.2579587399959564
49648_37481,49648,37481,5.981364015640452,9,7,0.7777777777777778,0.2595504820346832
49649_37481,49649,37481,5.981364015640452,17,12,0.7058823529411765,0.27419254183769226
49663_37481,49663,37481,5.981364015640452,4,0,0.0,0.2593553066253662
49664_37481,49664,37481,5.981364015640452,5,0,0.0,0.24996626377105713
49665_37481,49665,37481,5.981364015640452,6,0,0.0,0.2754760980606079
49666_37481,49666,37481,5.981364015640452,4,0,0.0,0.368538498878479
49667_37481,49667,37481,5.981364015640452,3,0,0.0,0.2995496690273285
49668_37481,49668,37481,5.981364015640452,2,0,0.0,0.2190205603837967
49669_37481,49669,37481,5.981364015640452,2,0,0.0,0.22951987385749817
49673_37481,49673,37481,5.981364015640452,5,0,0.0,0.23827078938484192
49674_37481,49674,37481,5.981364015640452,8,7,0.875,0.2529012858867645
49675_37481,49675,37481,5.981364015640452,3,0,0.0,0.31196367740631104
49676_37481,49676,37481,5.981364015640452,5,0,0.0,0.24367555975914001
49645_37481,49645,37481,5.981364015640452,7,0,0.0,0.32198017835617065
49646_37481,49646,37481,5.981364015640452,5,0,0.0,0.2602968215942383
49658_37481,49658,37481,5.981364015640452,20,13,0.65,0.25481152534484863
49659_37481,49659,37481,5.981364015640452,19,13,0.6842105263157895,0.2737272381782532
49660_37481,49660,37481,5.981364015640452,6,0,0.0,0.26475775241851807
49650_37481,49650,37481,5.981364015640452,12,7,0.5833333333333334,0.27257516980171204
49651_37481,49651,37481,5.981364015640452,10,7,0.7,0.25129052996635437
49652_37481,49652,37481,5.981364015640452,11,7,0.6363636363636364,0.24204200506210327
49653_37481,49653,37481,5.981364015640452,11,7,0.6363636363636364,0.28329089283943176
49657_37481,49657,37481,5.981364015640452,15,11,0.7333333333333333,0.25880521535873413
49644_37481,49644,37481,5.981364015640452,7,0,0.0,0.31646040081977844
49643_37481,49643,37481,5.981364015640452,5,0,0.0,0.27359020709991455
49984_37154,49984,37154,8.586115343372418,23,11,0.4782608695652174,0.2596607506275177
49983_37154,49983,37154,8.586115343372418,22,13,0.5909090909090909,0.29261115193367004
